nombrePerfilConvocatoria,paisResidencia,sueldoPretendido,diasUltimoTrabajo,empresaUltimoTrabajo,paisUltimoTrabajo,areaUltimoTrabajo,nombreUltimoTrabajo,aniosExperiencia,numeroTrabajos,diasUltimoEstudio,institucionUltimoEstudio,paisUltimoEstudio,areaUltimoEstudio,nombreUltimoEstudio,estadoUltimoEstudio,gradoUltimoEstudio,aniosEstudio,numeroEstudios,habilidadesTecnicas,idiomas,otrasHabilidades,contratado
Jefe De Proyecto - Analytics & Ai,Peru,9000.0,195.0,Upao,Peru,Tecnologias De La Informacion,Analista Academico-Administrativo,32.900000000000006,8.0,2.0,Scrum Study,Estados Unidos,Tecnologias De La Informacion,Scrum Master,Graduado,Otro,21.0,11.0,32.0,1.0,1.0,0
Especialista En Analitica,Peru,5500.0,1775.0,Grupo Utp,Peru,Atencion Al Cliente,Analista De Atencion Y Servicio Al Estudiante,6.8,2.0,31.0,Scrum Study,Peru,Procesos / Calidad Total,Scrum Product Owner,Graduado,Otro,4.3,3.0,6.0,2.0,8.0,0
Analista Funcional,Peru,5500.0,153.0,Banco Pichincha,Peru,Atencion Al Cliente,Jefe De Servicios,16.0,7.0,41.0,Instituto De Certificacion Sissertel,Peru,Otra,Scrum Product Owner,Graduado,Otro,1.9,9.0,3.0,1.0,2.0,0
Gestor De Servicios De Ti,Peru,4301.8,608.0,Corporacion Sapia S.A.,Peru,Tecnologia / Sistemas,Supervisor De Servicios De Ti,15.0,10.0,31.0,Pmc Latam,Peru,Tecnologias De La Informacion,Certificado Itil Foundation In It Service Manageme,Graduado,Otro,11.9,8.0,9.4,1.0,2.0,0
Jefe De Proyecto - Modern Workplace,Peru,7000.0,52.0,Pss Peru S.A.C.,Peru,Liderazgo De Proyecto,Jefe De Proyectos,7.5,8.0,1226.0,R&Amp;M Certified Enterprise Group,Peru,Ing. Informatica,Taller De Preparacion Para Certificacion Pmp,Graduado,Otro,5.4,9.0,12.0,2.0,4.0,0
Jefe De Proyecto - Modern Workplace,Peru,6000.0,105.0,Banco Interamericano De Finanzas (Banbif),Peru,Liderazgo De Proyecto,Jefe De Proyectos,7.6,8.0,1226.0,R&Amp;M Certified Enterprise Group,Peru,Ing. Informatica,Taller De Preparacion Para Certificacion Pmp,Graduado,Otro,5.4,9.0,12.0,2.0,4.0,0
Jefe De Proyecto - Modern Workplace,Peru,7500.0,284.0,B. Braun Medical Peru S.A.,Peru,Liderazgo De Proyecto,Jefe De Proyectos,11.4,8.0,1226.0,Universidad La Salle De Barcelona,Espana,Tecnologias De La Informacion,Stage Int. En Innovacion Y Transformacion Digital,Graduado,Posgrado,7.8,4.0,22.0,1.0,17.0,0
Jefe De Proyecto - Modern Workplace,Peru,6500.0,145.0,Ntt Data Peru S.A.C.,Peru,Liderazgo De Proyecto,Agile Team Facilitator,7.8,8.0,19.0,Universidad Peruana De Ciencias Aplicadas,Peru,Adm. De Empresas,Maestria En Administracion De Negocios,En Curso,Master,11.1,3.0,1.0,2.0,7.0,0
Jefe De Proyecto - Analytics & Ai,Peru,8000.0,219.0,Ntt Data Peru S.A.C.,Peru,Liderazgo De Proyecto,Agile Team Facilitator,8.0,8.0,19.0,Universidad Peruana De Ciencias Aplicadas,Peru,Adm. De Empresas,Maestria En Administracion De Negocios,En Curso,Master,11.1,3.0,1.0,2.0,7.0,0
Jefe De Proyecto - Modern Workplace,Venezuela,10500.0,113.0,Ntt Data Peru S.A.C.,Peru,Infraestructura,Infrastructure System Engineer,21.5,11.0,1065.0,Instituto Universitario De Tecnologia De Administracion Industrial (I.U.T.A.),Venezuela,Tecnologias De La Informacion,Tsu Informatica,Graduado,Universitario,8.7,2.0,21.0,1.0,1.0,0
Lider Tecnico,Venezuela,8000.0,1226.0,Ericsson,Peru,Tecnologia / Sistemas,Project Leader,20.7,8.0,1065.0,Instituto Universitario De Tecnologia De Administracion Industrial (I.U.T.A.),Venezuela,Tecnologias De La Informacion,Tsu Informatica,Graduado,Universitario,15.8,3.0,21.0,1.0,1.0,0
Jefe De Proyecto - Analytics & Ai,Venezuela,12000.0,1324.0,Ericsson,Peru,Tecnologia / Sistemas,Project Leader,21.0,8.0,1065.0,Instituto Universitario De Tecnologia De Administracion Industrial (I.U.T.A.),Venezuela,Tecnologias De La Informacion,Tsu Informatica,Graduado,Universitario,15.8,3.0,21.0,1.0,1.0,0
Especialista Devops,Venezuela,8000.0,1234.0,Ericsson,Peru,Tecnologia / Sistemas,Project Leader,20.7,8.0,1065.0,Instituto Universitario De Tecnologia De Administracion Industrial (I.U.T.A.),Venezuela,Tecnologias De La Informacion,Tsu Informatica,Graduado,Universitario,15.8,3.0,21.0,1.0,1.0,0
Especialista Devops,Venezuela,4500.0,1220.0,Ericsson,Peru,Tecnologia / Sistemas,Project Leader,20.7,8.0,1065.0,Instituto Universitario De Tecnologia De Administracion Industrial (I.U.T.A.),Venezuela,Tecnologias De La Informacion,Tsu Informatica,Graduado,Universitario,15.8,3.0,21.0,1.0,1.0,0
Jefe De Proyecto - Analytics & Ai,Venezuela,8500.0,88.0,Ibam,Peru,Liderazgo De Proyecto,Pmo Project Manager,21.1,9.0,1065.0,Instituto Universitario De Tecnologia De Administracion Industrial (I.U.T.A.),Venezuela,Tecnologias De La Informacion,Tsu Informatica,Graduado,Universitario,15.8,3.0,21.0,1.0,1.0,0
Bootcamp G&S | Desarrollo E Innovacion,Peru,1900.0,657.3,Tec4Biz,Peru,Recursos Humanos,Jefe De Proyectos,8.7,6.1,972.0,Instituto Universitario Jesus Obrero,Venezuela,Computacion / Informatica,Tsu Informatica,Graduado,Terciario/Tecnico,2.7,1.0,9.4,1.3,1.0,0
Analista Funcional,Peru,8000.0,1225.0,Reniec,Peru,Analisis Funcional,Analista Funcional,12.4,8.0,3611.0,Universidad Nacional De Trujillo,Peru,Ing. En Sistemas,Direccion De Proyectos,En Curso,Master,15.6,2.0,16.0,1.0,4.0,0
Especialista Bi,Peru,4500.0,203.0,America Movil Peru S.A.C.,Peru,Analisis De Datos,Analista De Up &Amp; Cross Selling Empresas,2.8,5.0,35.0,Universidad Nacional De Callao,Peru,Adm. De Empresas,Direccion De Proyectos,En Curso,Universitario,7.6,5.0,6.0,1.0,5.4,0
Ejecutivo Comercial,Peru,3500.0,556.0,Phc Software Peru Sac,Peru,Desarrollo De Negocios,Account Manager,3.9,4.0,61.0,Universidad Adolfo Ibanez,Peru,Otra,Direccion De Proyectos,Graduado,Posgrado,4.3,6.0,1.0,1.0,5.4,0
Gestor De Servicios De Ti,Peru,1.0,92.0,Gfi Peru Sac,Peru,Tecnologias De La Informacion,Analista De Calidad,16.7,13.0,153.0,Universidad Nacional De Trujillo,Peru,Adm. De Empresas,Diplomado En Administracion De Empresas,Graduado,Posgrado,7.1,2.0,18.0,1.0,13.0,0
Gestor De Servicios De Ti,Peru,4000.0,638.0,Real Systems S.A.,Peru,Liderazgo De Proyecto,Consultor De Proyectos,11.8,11.0,61.0,Universidad Privada Telesup,Peru,Adm. De Empresas,Diplomado En Administracion De Empresas,Graduado,Otro,13.6,3.0,16.0,2.0,1.0,0
Practicante De Infrastructure & Cloud,Peru,1300.0,657.3,Jci Ingenieria & Servicios Ambientales S.A.C,Peru,Liderazgo De Proyecto,Jefe De Proyectos,8.7,6.1,2173.0,Universidad Nacional De Trujillo,Peru,Ing. En Sistemas,Egresado En Ingenieria De Sistemas,Graduado,Posgrado,6.0,1.0,2.0,1.0,5.4,0
Analista Programador,Peru,3800.0,92.0,Real Systems S.A.,Peru,Sistemas,Analista Programador,7.5,6.0,3562.0,Universidad Nacional San Agustin De Arequipa,Peru,Ing. En Sistemas,Egresado En Ingenieria De Sistemas,Graduado,Universitario,16.4,2.0,14.0,1.0,3.0,0
Desarrollador .Net,Peru,3000.0,151.0,Protiviti Peru,Peru,Tecnologia / Sistemas,Consultor .Net,4.4,6.0,1705.0,Universidad Nacional De Callao,Peru,Ing. En Sistemas,Egresado En Ingenieria De Sistemas,Graduado,Universitario,4.7,1.0,1.0,1.0,4.0,0
Especialista De Seguridad De Aplicaciones,Peru,1200.0,657.3,Manpower Professional Services S.A.,Peru,Tecnologia / Sistemas,Freelance,8.7,6.1,1767.0,Universidad Nacional De Trujillo,Peru,Ing. Mecanica/Metalurgica,Ingenieria Mecanica,Graduado,Universitario,4.8,1.0,5.0,2.0,5.4,0
Ejecutivo Comercial,Peru,2000.0,1853.0,Banco De Credito Del Peru - Bcp,Peru,Ventas,Asesor De Ventas,23.7,5.0,153.0,Universidad Nacional De Trujillo,Peru,Adm. De Empresas,Diplomado En Gerencia De Gestion Administ,Graduado,Universitario,6.7,2.0,1.0,1.0,1.0,0
Asistente Social,Peru,3000.0,1523.0,Exact S.A.C - Empresa Especialista En Gestion Documental,Peru,Recursos Humanos,Trabajadora Social,11.8,4.0,1795.0,Universidad Nacional De Trujillo,Peru,Trabajo Social,Lic. En Trabajo Social,Graduado,Universitario,4.9,1.0,1.0,1.0,1.0,0
Desarrollador .Net,Peru,4000.0,296.0,Caja Trujillo,Peru,Tecnologias De La Informacion,Asistente De Arquitectura De Software,4.6,4.0,1705.0,Universidad Nacional De Trujillo,Peru,Ing. Informatica,Ing. Informatico,Graduado,Universitario,4.7,1.0,6.0,1.3,6.0,0
Analista De Calidad,Peru,2000.0,547.0,Tecnologica De Alimentos S.A.,Peru,Ingenieria Industrial,Auxiliar De Calidad,7.7,7.0,536.0,Universidad Nacional De Trujillo,Peru,Ing. Informatica,Maestria Con Mencion En Gerencia De Operaciones,En Curso,Posgrado,11.9,4.0,1.0,1.0,5.4,0
Asistente Social,Peru,5000.0,1096.0,Mota Engil Peru,Peru,Recursos Humanos,Asistenta Social,10.8,7.0,610.0,Universidad Nacional De Trujillo,Peru,Ing. Industrial,Organizacion Y Direccion De Recursos Humanos,Graduado,Posgrado,6.3,2.0,1.0,1.0,5.4,0
Ejecutivo Comercial,Peru,1200.0,40.0,World Vision Peru,Peru,Turismo,Operaria,0.1,1.0,451.0,Universidad Nacional De Trujillo,Peru,Turismo,Turismo,Graduado,Universitario,1.2,1.0,9.4,1.3,5.4,0
Analista De Calidad,Peru,3600.0,738.0,Tsoft Peru,Peru,Testing / Qa / Qc,Analista De Calidad,6.9,7.0,579.0,Universidad Privada Telesup,Peru,Tecnologias De La Informacion,Ingenieria De Sistemas,Graduado,Universitario,1.6,1.0,1.0,1.0,2.0,0
Analista De Calidad,Peru,5000.0,1077.0,Tsoft Peru,Peru,Testing / Qa / Qc,Analista De Calidad,7.9,7.0,579.0,Universidad Privada Telesup,Peru,Tecnologias De La Informacion,Ingenieria De Sistemas,Graduado,Universitario,1.6,1.0,1.0,1.0,2.0,0
Analista De Calidad,Peru,6000.0,1617.0,Practia Consulting S.A.C,Argentina,Testing / Qa / Qc,Analista De Calidad,9.2,6.0,4600.0,Universidad Privada Telesup,Peru,Ing. En Sistemas,Universidad Privada Telesup,En Curso,Universitario,12.6,1.0,10.0,1.0,1.0,0
Especialista Bi,Peru,4000.0,121.0,Indra Peru S.A.,Peru,Analisis Funcional,Analista De Sistemas,9.5,8.0,1226.0,Scrum Alliance,Peru,Otra,Certificacion Scrum Master,Graduado,Otro,6.8,6.0,17.0,2.0,10.0,0
Scrum Master,Peru,1.0,453.0,Gfi Peru Sac,Peru,Liderazgo De Proyecto,Project Manager,11.3,7.0,1226.0,Scrum Alliance,Peru,Tecnologias De La Informacion,Certificacion Scrum Master,Graduado,Otro,8.4,7.0,11.0,1.0,5.0,0
Scrum Master,Peru,7000.0,240.0,Mdp Consulting S.A.C.,Peru,Otras Ingenierias,Analista Backend Outsystems,7.8,18.0,1226.0,Scrum Alliance,Peru,Ing. En Sistemas,Certificacion Scrum Master,Graduado,Otro,13.1,12.0,5.0,1.0,1.0,0
Scrum Master,Peru,5000.0,149.0,America Movil Peru S.A.C.,Peru,Infraestructura,Arquitecto De Aplicaciones,5.9,8.0,545.0,Scrum Study,Peru,Ing. En Sistemas,Certificacion Scrum Master,Graduado,Otro,5.8,3.0,9.0,2.0,5.0,0
Gestor De Servicios De Ti,Peru,5000.0,241.0,America Movil Peru S.A.C.,Peru,Infraestructura,Arquitecto De Aplicaciones,6.4,8.0,637.0,Scrum Study,Peru,Ing. En Sistemas,Certificacion Scrum Master,Graduado,Otro,6.1,3.0,9.0,2.0,5.0,0
Lider Tecnico,Peru,6000.0,1781.0,Ntt Data Peru S.A.C.,Peru,Tecnologias De La Informacion,Coordinadora Gestion De La Configuracion,19.7,12.0,31.0,Scrum Study,Peru,Tecnologias De La Informacion,Certificacion Scrum Master,Graduado,Otro,16.3,6.0,35.0,1.0,1.0,0
Scrum Master,Peru,7500.0,238.0,Gm Marketing Services Sac,Chile,Ingenieria Oficina Tecnica / Proyecto,Scrum Master,8.6,17.0,30.0,Scrum Alliance,Peru,Ing. - Otros,Certificacion Scrum Master Alliance,Graduado,Posgrado,14.9,4.0,35.0,2.2,5.0,0
Jefe De Proyecto - Analytics & Ai,Peru,9000.0,497.0,Mdp Consulting S.A.C.,Peru,Liderazgo De Proyecto,Project Manager,21.0,7.0,1226.0,Scrum Alliance,Colombia,Procesos / Calidad Total,Certified Scrummaster(R) (Csm(R)),Graduado,Otro,8.3,6.0,12.0,1.0,2.0,0
Jefe De Proyecto - Analytics & Ai,Peru,7000.0,636.0,Protecta Security,Peru,Liderazgo De Proyecto,Supervisora De Proyectos Senior,10.1,5.0,30.0,Scrum Alliance,Peru,Otra,Certified Scrummaster,Graduado,Otro,7.2,6.0,20.0,2.0,5.0,0
Analista Programador .Net,Peru,5000.0,368.0,Minera Aurifera Retamas(Marsa),Peru,Tecnologias De La Informacion,Analista De Sistemas,9.3,14.0,3230.0,Universidad Peruana De Ciencias Aplicadas,Peru,Tecnologias De La Informacion,Tecnico Ingeniero Electronico,En Curso,Universitario,11.7,2.0,8.0,1.0,1.0,0
Analista Programador .Net,Peru,5000.0,244.0,Minera Aurifera Retamas(Marsa),Peru,Tecnologias De La Informacion,Analista De Sistemas,8.9,14.0,3106.0,Universidad Peruana De Ciencias Aplicadas,Peru,Tecnologias De La Informacion,Ingenieria De Sistemas,En Curso,Universitario,11.4,2.0,8.0,1.0,1.0,0
Programador .Net,Peru,6000.0,516.0,Minera Aurifera Retamas(Marsa),Peru,Tecnologias De La Informacion,Analista De Sistemas,9.7,14.0,3832.0,Universidad Peruana De Ciencias Aplicadas,Peru,Tecnologias De La Informacion,Ingenieria De Sistemas,En Curso,Universitario,13.3,2.0,8.0,1.0,1.0,0
Programador .Net,Peru,6000.0,516.0,Minera Aurifera Retamas(Marsa),Peru,Tecnologias De La Informacion,Analista De Sistemas,9.7,14.0,3979.0,Universidad Peruana De Ciencias Aplicadas,Peru,Tecnologias De La Informacion,Gestion Empresarial,En Curso,Universitario,13.7,2.0,8.0,1.0,1.0,0
Programador .Net,Peru,5500.0,516.0,Minera Aurifera Retamas(Marsa),Peru,Tecnologias De La Informacion,Analista De Sistemas,9.7,14.0,3768.0,Universidad Peruana De Ciencias Aplicadas,Peru,Tecnologias De La Informacion,E.Commerce,En Curso,Universitario,13.2,2.0,8.0,1.0,1.0,0
Programador .Net,Peru,6000.0,516.0,Minera Aurifera Retamas(Marsa),Peru,Tecnologias De La Informacion,Analista De Sistemas,9.7,14.0,4003.0,Universidad Peruana De Ciencias Aplicadas,Peru,Tecnologias De La Informacion,Computacion E Informatica,En Curso,Universitario,13.8,2.0,8.0,1.0,1.0,0
Desarrollador .Net,Peru,5000.0,529.0,Minera Aurifera Retamas(Marsa),Peru,Tecnologias De La Informacion,Analista De Sistemas,9.7,14.0,3391.0,Universidad Peruana De Ciencias Aplicadas,Peru,Tecnologias De La Informacion,Recursos Humanos,En Curso,Universitario,12.1,2.0,8.0,1.0,1.0,0
Analista Programador Senior/Full Stack,Peru,6000.0,516.0,Minera Aurifera Retamas(Marsa),Peru,Tecnologias De La Informacion,Analista De Sistemas,9.7,14.0,3656.0,Universidad Peruana De Ciencias Aplicadas,Peru,Tecnologias De La Informacion,Ingenieria De Gestion Empresarial,En Curso,Universitario,12.9,2.0,8.0,1.0,1.0,0
Analista Programador - Mvc,Peru,6000.0,558.0,Minera Aurifera Retamas(Marsa),Peru,Tecnologias De La Informacion,Analista De Sistemas,9.8,14.0,3420.0,Universidad Peruana De Ciencias Aplicadas,Peru,Tecnologias De La Informacion,Oracle Cloud Infraestructure Fundamentals,En Curso,Universitario,12.2,2.0,8.0,1.0,1.0,0
Programador .Net,Peru,6000.0,516.0,Minera Aurifera Retamas(Marsa),Peru,Tecnologias De La Informacion,Analista De Sistemas,9.7,14.0,3696.0,Universidad Peruana De Ciencias Aplicadas,Peru,Tecnologias De La Informacion,Licenciada En Administracion,En Curso,Universitario,13.0,2.0,8.0,1.0,1.0,0
Analista Programador,Peru,5000.0,81.0,Mdp Consulting S.A.C.,Peru,Programacion,Analista Programador,8.1,13.0,2759.0,Universidad Peruana De Ciencias Aplicadas,Peru,Tecnologias De La Informacion,Psicologia,En Curso,Universitario,10.4,2.0,8.0,1.0,1.0,0
Desarrollador .Net,Peru,4500.0,131.0,Mdp Consulting S.A.C.,Peru,Programacion,Analista Programador,8.2,13.0,2809.0,Universidad Peruana De Ciencias Aplicadas,Peru,Tecnologias De La Informacion,Certificacion Coach Ejecutivo,En Curso,Universitario,10.5,2.0,8.0,1.0,1.0,0
Desarrollador .Net,Peru,4500.0,119.0,Mdp Consulting S.A.C.,Peru,Programacion,Analista Programador,8.2,13.0,2797.0,Universidad Peruana De Ciencias Aplicadas,Peru,Tecnologias De La Informacion,Mantenimiento Electrico E Instrumentacion,En Curso,Universitario,10.5,2.0,8.0,1.0,1.0,0
Desarrollador .Net,Peru,4500.0,562.0,Marina De Guerra Del Peru,Peru,Programacion,Analista Programador,7.9,12.0,2694.0,Universidad Peruana De Ciencias Aplicadas,Peru,Tecnologias De La Informacion,Ingenieria De Sistemas,En Curso,Universitario,10.2,2.0,8.0,1.0,1.0,0
Desarrollador .Net,Peru,4500.0,589.0,Marina De Guerra Del Peru,Peru,Programacion,Analista Programador,8.0,12.0,2721.0,Universidad Peruana De Ciencias Aplicadas,Peru,Tecnologias De La Informacion,Ingenieria De Sistemas,En Curso,Universitario,10.3,2.0,8.0,1.0,1.0,0
Cloud Devops,Peru,3500.0,1674.0,Digitex,Peru,Analisis Funcional,Analista Funcional,9.8,6.0,366.0,"Instituto Superior Tecnologico ""Cepea""",Peru,Comunicacion Audiovisual,Analisis De Sistemas,Abandonado,Universitario,1.6,2.0,1.0,1.3,1.0,0
Analista Programador .Net,Peru,5.0,289.0,La Calera,Peru,Analisis Funcional,Analista De Sistemas,10.9,7.0,1226.0,Universidad Europea De Madrid,Espana,Ing. En Sistemas,Master En Gerencia De Sistemas,Graduado,Master,8.9,3.0,18.0,1.0,2.0,1
Programador .Net,Peru,5.0,1422.0,Consultance It,Peru,Tecnologias De La Informacion,Senior Full Stack Developer,11.2,5.0,1226.0,Universidad Europea De Madrid,Espana,Ing. En Sistemas,Master En Gerencia De Sistemas,Graduado,Master,8.9,3.0,18.0,1.0,3.0,1
Programador .Net,Peru,5.0,1463.0,Consultance It,Peru,Tecnologias De La Informacion,Senior Full Stack Developer,11.3,5.0,1226.0,Universidad Europea De Madrid,Espana,Ing. En Sistemas,Master En Gerencia De Sistemas,Graduado,Master,8.9,3.0,18.0,1.0,3.0,1
Programador .Net,Peru,5.0,1435.0,Consultance It,Peru,Tecnologias De La Informacion,Senior Full Stack Developer,11.3,5.0,1226.0,Universidad Europea De Madrid,Espana,Ing. En Sistemas,Master En Gerencia De Sistemas,Graduado,Master,8.9,3.0,18.0,1.0,3.0,1
Analista Funcional,Peru,5.0,1422.0,Consultance It,Peru,Tecnologias De La Informacion,Senior Full Stack Developer,11.2,5.0,1226.0,Universidad Europea De Madrid,Espana,Ing. En Sistemas,Master En Gerencia De Sistemas,Graduado,Master,8.9,3.0,18.0,1.0,3.0,1
Desarrollador Full Stack,Peru,5.0,781.0,Consultance It,Peru,Tecnologias De La Informacion,Senior Full Stack Developer,9.5,5.0,1226.0,Universidad Europea De Madrid,Espana,Ing. En Sistemas,Master En Gerencia De Sistemas,Graduado,Master,8.9,3.0,18.0,1.0,3.0,1
Analista Programador Senior/Full Stack,Peru,5.0,826.0,Consultance It,Peru,Tecnologias De La Informacion,Senior Full Stack Developer,9.6,5.0,1226.0,Universidad Europea De Madrid,Espana,Ing. En Sistemas,Master En Gerencia De Sistemas,Graduado,Master,8.9,3.0,18.0,1.0,3.0,1
Jefe De Proyecto - Analytics & Ai,Peru,5.0,517.0,Hospital Daniel Alcides Carrion,Peru,Gerencia / Direccion General,Asesor De La Direccion General,10.1,6.0,1226.0,Universidad Europea De Madrid,Espana,Ing. En Sistemas,Master En Gerencia De Sistemas,Graduado,Master,8.9,3.0,19.0,1.0,2.0,1
Gestor De Servicios De Ti,Peru,7000.0,276.0,Universidad Peruana De Ciencias Aplicadas (Upc),Peru,Educacion/ Docentes,Docente,16.2,3.0,305.0,Universidad Europea De Madrid,Espana,Tecnologias De La Informacion,Master En Sistemas Y Tecnologias De La Inform,Graduado,Master,2.5,2.0,32.0,2.0,13.0,0
Jefe De Proyecto - Analytics & Ai,Peru,7500.0,184.0,Manpower Professional Services S.A.,Peru,Liderazgo De Proyecto,Project Manager,18.2,11.0,305.0,Universidad Europea De Madrid,Espana,Adm. De Empresas,Master De Alta Direccion De Empresas Mbaa,Graduado,Master,10.4,4.0,8.0,2.0,16.0,0
Jefe De Proyecto - Analytics & Ai,Peru,7000.0,92.0,Manpower Professional Services S.A.,Peru,Liderazgo De Proyecto,Project Manager,17.9,11.0,305.0,Universidad Europea De Madrid,Espana,Adm. De Empresas,Master De Alta Direccion De Empresas Mbaa,Graduado,Master,10.4,4.0,8.0,2.0,14.0,0
Jefe De Proyecto - Modern Workplace,Peru,7000.0,184.0,Manpower Professional Services S.A.,Peru,Liderazgo De Proyecto,Project Manager,18.2,11.0,305.0,Universidad Europea De Madrid,Espana,Adm. De Empresas,Master De Alta Direccion De Empresas Mbaa,Graduado,Master,10.4,4.0,8.0,2.0,16.0,0
Jefe De Proyecto - Analytics & Ai,Peru,8000.0,767.0,Laive S.A,Peru,Desarrollo De Negocios,Coordinador De Inteligencia Comercial,10.9,5.0,116.0,Universidad Europea De Madrid,Espana,Adm. De Empresas,Mba,En Curso,Master,5.8,4.0,8.0,2.0,5.0,0
Analista Funcional,Peru,4000.0,791.0,Banco Pichincha,Espana,Operaciones,Soporte De Operaciones,7.8,4.0,1004.0,Universidad Europea De Madrid,Espana,Adm. De Empresas,Administracion Y Direccion De Empresa,Graduado,Universitario,8.2,2.0,9.4,1.0,1.0,0
Practicante De Recursos Humanos,Peru,1500.0,1137.0,Osiptel,Peru,Administracion,Practicante De Administracion,3.7,3.0,487.0,Universidad De Almeria,Espana,Adm. De Empresas,Administracion Y Direccion De Empresa,Abandonado,Universitario,7.8,2.0,5.0,1.0,1.0,0
Analista Programador .Net,Peru,8000.0,1431.0,Doe Run Peru Srl,Peru,Mineria/Petroleo/Gas,Analista De Sistemas,19.0,11.0,62.0,Red Linux,Peru,Tecnologias De La Informacion,"Curso Taller ""Enterprise Linux Server""",Graduado,Terciario/Tecnico,16.7,4.0,35.0,1.0,2.0,0
Bootcamp G&S | Infrastructure & Cloud,Peru,1.0,122.0,Konecta Peru,Peru,Tecnologia / Sistemas,Analista De Sistemas,15.7,9.0,15.0,Cisco Networking Academy,Peru,Computacion / Informatica,Ccna,En Curso,Otro,18.1,8.0,35.0,2.2,5.4,0
Analista Funcional,Peru,1.0,183.0,Seidor,Peru,Tecnologia / Sistemas,Administrador De Plataforma Lms,8.0,7.0,30.0,Cisco Networking Academy,Peru,Ing. En Sistemas,Introduccion Seguridad Cibernetica,Graduado,Terciario/Tecnico,7.7,7.0,11.0,1.0,18.0,0
Programador .Net,Peru,4301.8,527.0,Proyectos Personales,Peru,Sistemas,Analista De Sistemas,24.7,4.0,30.0,Cognos,Bolivia,Computacion / Informatica,Olap - Sql Server 7.0,Graduado,Otro,5.2,5.0,3.0,1.0,10.0,0
Programador .Net,Peru,3500.0,62.0,Corporacion Sapia S.A.,Peru,Soporte Tecnico,Analista De Sistemas,1.6,4.0,2993.0,Instituto De Emprendedores - Usil,Peru,Tecnologias De La Informacion,Carrera De Computacion E Informatica,En Curso,Posgrado,8.2,1.0,23.0,1.0,2.0,0
Analista Funcional,Peru,5500.0,209.0,Global Hitss Peru S.A.C.,Peru,Tecnologias De La Informacion,Jefe De Proyectos,14.5,19.0,21.0,Universidad Esan,Peru,Tecnologias De La Informacion,Diplimado En Gestion De Proyectos,En Curso,Otro,6.3,9.0,9.0,1.0,8.0,0
Analista Funcional,Peru,6500.0,370.0,Encora,Peru,Analisis Funcional,Business Analyst,14.0,18.0,245.0,Universidad Esan,Peru,Tecnologias De La Informacion,Diplimado En Gestion De Proyectos,Graduado,Otro,6.9,9.0,9.0,1.0,8.0,0
Jefe De Proyecto - Analytics & Ai,Peru,12000.0,889.0,Ferreyros S.A.,Peru,Exploracion Minera Y Petroquimica,Data Scientist,14.4,8.0,20.0,Universidad Esan,Peru,Tecnologias De La Informacion,Direccion De Tecnologias De La Informacion,En Curso,Posgrado,14.5,8.0,10.0,1.0,4.0,0
Jefe De Proyecto - Analytics & Ai,Peru,14600.0,201.0,Anglo American,Peru,Ingenieria En Minas,Project Manager,20.9,12.0,20.0,Universidad Esan,Peru,Tecnologias De La Informacion,Direccion De Tecnologias De La Informacion,En Curso,Posgrado,16.9,8.0,10.0,1.0,4.0,0
Jefe De Proyecto - Analytics & Ai,Peru,14600.0,205.0,Business Insight Center,Peru,Liderazgo De Proyecto,Jefe De Proyectos,17.9,11.0,20.0,Universidad Esan,Peru,Tecnologias De La Informacion,Direccion De Tecnologias De La Informacion,En Curso,Posgrado,15.7,8.0,10.0,1.0,4.0,0
Jefe De Proyecto - Analytics & Ai,Peru,14600.0,333.0,Business Insight Center,Peru,Liderazgo De Proyecto,Jefe De Proyectos,19.3,11.0,20.0,Universidad Esan,Peru,Tecnologias De La Informacion,Direccion De Tecnologias De La Informacion,En Curso,Posgrado,16.4,8.0,10.0,1.0,4.0,0
Lider Tecnico,Peru,7000.0,821.0,Flex Trade Sac,Peru,Desarrollo De Negocios,Key Account Manager,10.9,10.0,1460.0,Universidad Esan,Peru,Adm. De Empresas,"Escuela De Postgrado Esan, Mba",En Curso,Master,12.2,7.0,31.0,1.0,13.0,0
Gestor De Servicios De Ti,Peru,7000.0,769.0,Flex Trade Sac,Peru,Desarrollo De Negocios,Key Account Manager,10.8,10.0,1408.0,Universidad Esan,Peru,Adm. De Empresas,"Escuela De Postgrado Esan, Mba",En Curso,Master,12.0,7.0,31.0,1.0,13.0,0
Analista De Calidad,Peru,4500.0,2620.0,Banco De La Nacion,Peru,Liderazgo De Proyecto,Analista,16.8,4.0,701.0,Universidad Esan,Peru,Adm. Y Gestion Publica,Pee Gestion Publica,Graduado,Otro,6.1,4.0,2.0,1.0,1.0,0
Analista Programador,Peru,3700.0,291.0,Red De Clinicas San Pablo,Peru,Sistemas,Analista,14.2,5.0,31.0,Universidad Esan,Peru,Tecnologias De La Informacion,Curso De Gerencia De Proyectos De Tecnologias,Graduado,Posgrado,4.8,3.0,29.0,1.0,3.0,0
Analista De Sistemas,Peru,3600.0,315.0,Red De Clinicas San Pablo,Peru,Sistemas,Analista,14.3,5.0,31.0,Universidad Esan,Peru,Tecnologias De La Informacion,Curso De Gerencia De Proyectos De Tecnologias,Graduado,Posgrado,4.8,3.0,29.0,1.0,3.0,0
