nombrePerfilConvocatoria,paisResidencia,sueldoPretendido,diasUltimoTrabajo,empresaUltimoTrabajo,paisUltimoTrabajo,areaUltimoTrabajo,nombreUltimoTrabajo,aniosExperiencia,numeroTrabajos,diasUltimoEstudio,institucionUltimoEstudio,paisUltimoEstudio,areaUltimoEstudio,nombreUltimoEstudio,estadoUltimoEstudio,gradoUltimoEstudio,aniosEstudio,numeroEstudios,habilidadesTecnicas,idiomas,otrasHabilidades,contratado
Analista De Base De Datos,Peru,3800.0,293.0,Farmacias Peruanas S.A.,Peru,Administracion De Base De Datos,Administrador De Base De Datos,8.6,3.0,153.0,Universidad Peruana De Ciencias Aplicadas,Peru,Tecnologias De La Informacion,Ingenieria De Sistemas,Abandonado,Universitario,4.1,2.0,5.0,1.0,7.0,0
Especialista Cyberseguridad,Peru,6000.0,1116.0,Culqi,Peru,Seguridad Informatica,Ciso - Oficial De Seguridad De La Informacion,13.5,9.0,2749.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,10.4,2.0,8.0,1.0,1.0,0
Analista Programador,Peru,2000.0,1065.0,Adecco Consulting S.A.,Peru,Soporte Tecnico,Soporte Tecnico,6.1,8.0,1021.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,6.8,2.0,3.0,1.0,1.0,0
Analista Programador Android,Peru,4500.0,305.0,Peq Consultores,Peru,Programacion,Desarrollador Movil,3.2,3.0,600.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,8.2,2.0,9.4,1.0,4.0,0
Analista De Sistemas,Peru,5000.0,2223.0,Enchufate Sac,Peru,Liderazgo De Proyecto,It-Manager,8.4,4.0,2652.0,Universidad Peruana De Ciencias Aplicadas,Peru,Tecnologias De La Informacion,Ingenieria De Sistemas,En Curso,Universitario,12.8,4.0,12.0,1.0,5.4,0
Analista Desarrollador Php,Peru,4500.0,1484.0,Compudiskett S.R.L.,Peru,Programacion,Analisista Programador,6.5,3.0,329.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,3.8,3.0,7.0,2.0,11.0,0
Desarrollador .Net,Peru,8500.0,2620.0,E&Amp;E Consultores En T.I. / R.I. S.A.C.,Peru,Sistemas,Director De Proyectos T.I.,22.3,11.0,1916.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,7.2,2.0,35.0,2.2,8.0,0
Especialista Cloud,Peru,2200.0,334.0,Agp Group,Peru,Ingenieria De Producto,Tecnico De Investigacion Y Desarrollo,3.7,3.0,92.0,Universidad Peruana De Ciencias Aplicadas,Peru,Fisioterapia,Ingenieria De Sistemas,En Curso,Universitario,7.1,4.0,5.0,1.0,5.4,0
Gestor De Servicios De Ti,Peru,2200.0,617.0,Centro Nacional De Servicios,Peru,Tecnologias De La Informacion,Ejecutivo De Service Desk Y Administrador Aranda,7.0,6.0,707.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,5.2,2.0,8.0,1.0,8.0,0
Especialista .Net Jr.,Peru,5500.0,142.0,Nanotech Solutions,Peru,Tecnologia / Sistemas,Analista De Proyectos,13.2,15.0,1695.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,8.1,3.0,8.0,1.0,8.0,1
Especialista En Office 365,Peru,5000.0,233.0,Nanotech Solutions,Peru,Tecnologia / Sistemas,Analista De Proyectos,13.1,15.0,1786.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,5.9,2.0,8.0,1.0,8.0,1
Jefe De Proyecto - Modern Workplace,Peru,11500.0,1152.0,Solera,Peru,Liderazgo De Proyecto,Agile Coach,18.5,10.0,2983.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,11.7,2.0,14.0,1.0,14.0,1
Programador Frontend,Peru,1000.0,78.0,Neon House Led Sac,Peru,Programacion,Practicante De Desarrollo Web,0.3,2.0,1030.0,Universidad Peruana De Ciencias Aplicadas,Peru,Computacion / Informatica,Ingenieria De Sistemas,En Curso,Universitario,8.8,3.0,7.0,1.0,9.0,0
Especialista En Office 365,Peru,4500.0,2620.0,Certero S.A.C.,Peru,Tecnologia / Sistemas,Consultor Microsoft,13.8,2.0,2007.0,Universidad Peruana De Ciencias Aplicadas,Peru,Tecnologias De La Informacion,Ingenieria De Sistemas,Graduado,Universitario,9.3,2.0,9.0,1.0,9.0,0
Analista Programador - Pwa,Peru,8500.0,366.0,Gestyde,Espana,Tecnologia / Sistemas,Teach Lead,4.4,3.0,912.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,6.1,2.0,7.0,1.0,5.4,0
Especialista Power Bi,Peru,2500.0,1475.0,Tgestiona Sac,Peru,Tecnologias De La Informacion,Analista De Comisiones Y Liquidaciones,6.4,4.0,1414.0,Universidad Peruana De Ciencias Aplicadas,Peru,Tecnologias De La Informacion,Ingenieria De Sistemas,En Curso,Universitario,7.6,2.0,7.0,1.0,11.0,0
Gestor De Servicios De Ti,Peru,5500.0,334.0,"Universidad Catolica San Pablo - Arequipa, Peru",Peru,Tecnologia / Sistemas,Coordinador De Proyectos,17.0,6.0,153.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,3.3,2.0,2.0,1.0,3.0,1
Analista Desarrollador Php,Peru,3000.0,524.0,Peru Hop Sac,Peru,Tecnologia / Sistemas,Analista Desarrollador,3.4,4.0,2313.0,Universidad Inca Garcilaso De La Vega,Peru,Bachiller,Ingenieria De Sistemas,Graduado,Universitario,6.3,1.0,9.0,1.0,6.0,0
