institucionUltimoEstudio,equivalencia,cantidad,igual
Escuela Nacional De Estudios Gubernamentales,Escuela Nacional De Estudios Gubernamentales,2,TRUE
Escuela Peruana De Gestion Empresarial,Escuela Peruana De Gestion Empresarial,1,TRUE
Escuela Posgrado Continental,Escuela Posgrado Continental,1,TRUE
Escuela Superior De Marketing Adv Peru,Escuela Superior De Marketing Adv Peru,1,TRUE
Escuela Superior Politecnica De Chimborazo,Escuela Superior Politecnica De Chimborazo,1,TRUE
Escuela Superior Politecnica Del Litoral,Escuela Superior Politecnica Del Litoral,2,TRUE
Esic,Esic,3,TRUE
Esic Business &Amp; Marketing School,Esic,2,FALSE
Eucim Business School,Eucim Business School,1,TRUE
Eucim Business School - Espana,Eucim Business School,1,FALSE
Eude Business School,European Business Schools - Eude,1,FALSE
Euroidiomas,Euroidiomas,2,TRUE
European Business Schools - Eude,European Business Schools - Eude,1,TRUE
Europeanscrum.Org,Europeanscrum.Org,1,TRUE
Evangelische Hochschule Ludwigsburg,Evangelische Hochschule Ludwigsburg,2,TRUE
Everis,Everis,1,TRUE
Excelencia Humana,Excelencia Humana,1,TRUE
Exes,Exes,2,TRUE
Exin,Exin,8,TRUE
Experto Luis Duenas,Experto Luis Duenas,1,TRUE
Extranjero,Extranjero,1,TRUE
F&Amp;M Consulting,F&Amp;M Consulting,1,TRUE
Fabrica De Fibra Optica Parks,Fabrica De Fibra Optica Parks,1,TRUE
Facultad De Ciencias Sociales E.A.P. De Trabajo Social,Facultad De Ciencias Sociales E.A.P. De Trabajo Social,1,TRUE
Fastlane,Fastlane,1,TRUE
Fide - Universidad Nacional Mayor De San Marcos,Fide - Universidad Nacional Mayor De San Marcos,1,TRUE
Florida Insternational University,Florida International University,1,FALSE
Florida International University,Florida International University,2,TRUE
Formatec,Formatec,1,TRUE
Formatica Sac,Formatica Sac,1,TRUE
Formativa,Formativa,2,TRUE
Fortinet,Fortinet,1,TRUE
Freecodecamp,Freecodecamp,1,TRUE
