lastWorkCompany,equivalence,count,equals
Aseptic Peruvian Fruit,Aseptic Peruvian Fruit,1,TRUE
Asesor Inmobiliario Independiente,Asesor Inmobiliario Independiente,1,TRUE
Asesores -E,Asesoresb24,3,FALSE
Asesoresb24,Asesoresb24,1,TRUE
Asesores-E,Asesoresb24,3,FALSE
Asia Telecomunicaciones,Asia Telecomunicaciones,1,TRUE
Asialine Peru,Asialine Peru,1,TRUE
Asientos Componentes &Amp; Sevicios S.A.C. - Ayc,Asientos Componentes &Amp; Sevicios S.A.C. - Ayc,1,TRUE
Asix,Asix,1,TRUE
Asociacion Ciudad De Los Ninos,Asociacion Ciudad De Los Ninos,1,TRUE
Asociacion Civil Con Proposito - Mab,Asociacion Civil Con Proposito - Mab,2,TRUE
Asociacion Cultural Educativa Mendel,Asociacion Cultural Educativa Mendel,4,TRUE
Asociacion De Empleados Del Bcp,Asociacion De Empleados Del Bcp,1,TRUE
Asociacion De Hogares Nuevo Futuro Peru (Fundades),Asociacion De Hogares Nuevo Futuro Peru (Fundades),1,TRUE
Asociacion De Oficiales Pip,Asociacion De Oficiales Pip,1,TRUE
Asociacion Educativa Casuarinas,Asociacion Educativa Casuarinas,1,TRUE
Asociacion Educativa Global Colombia S.A.S,Asociacion Educativa Global Colombia S.A.S,1,TRUE
Asociacion Educativa Trilce,Asociacion Educativa Trilce,1,TRUE
Asociacion Ferreycorp,Asociacion Ferreycorp,1,TRUE
Asociacion Peruana De Empresas De Seguro,Asociacion Peruana De Empresas De Seguro,1,TRUE
Asociacion Peruano Japonesa,Asociacion Peruano Japonesa,6,TRUE
Asociacion Por Los Derechos Del Nino Con Cancer,Asociacion Por Los Derechos Del Nino Con Cancer,1,TRUE
Asociacion Saco Oliveros,Asociacion Saco Oliveros,1,TRUE
Asociacion Sembradores De Cultura,Asociacion Sembradores De Cultura,1,TRUE
Asosiacion Peruana De Empresas De Seguros,Asosiacion Peruana De Empresas De Seguros,1,TRUE
Asper Coating Del Peru S.A.C.,Asper Coating Del Peru S.A.C.,1,TRUE
Asset Industrial,Asset Industrial,1,TRUE
Assist Card Peru,Assist Card Peru,1,TRUE
Assistcard Peru,Assist Card Peru,1,FALSE
Assurant,Assurant,1,TRUE
Astara Peru,Astara Peru,1,TRUE
Asvnets,Asvnets,1,TRUE
Atento,Atento Peru,16,FALSE
Atento Peru,Atento Peru,2,TRUE
Atento Peru - Callcenter De La Clinica Delgado,Atento Peru,1,FALSE
Atento Peru Sa,Atento Peru,1,FALSE
Atento-Procter And Gamble,Atento Peru,1,FALSE
Ativa Sac,Ativa Sac,1,TRUE
Atlantic City,Atlantic City,4,TRUE
Atlantis Force S.A.C,Atlantis Force S.A.C,1,TRUE
Atomikal,Atomikal,10,TRUE
Atos,Atos Peru,1,FALSE
Atos Peru,Atos Peru,1,TRUE
Atrebo S.L.,Atrebo S.L.,2,TRUE
Atria Energia,Atria Energia,1,TRUE
Atsac,Atsac,1,TRUE
Atttach Media,Atttach Media,1,TRUE
Aucallama Beach Club,Aucallama Beach Club,1,TRUE
Audire Inversiones Eirl - Interactivo,Audire Inversiones Eirl - Interactivo,2,TRUE
Auna,Auna - Grupo Salud Del Peru,11,FALSE
Auna - Grupo Salud Del Peru,Auna - Grupo Salud Del Peru,1,TRUE
Auna ( Gsp Servicios Generales Sac ),Auna ( Gsp Servicios Generales Sac ),2,TRUE
Auna Oncosalud,Auna - Grupo Salud Del Peru,1,FALSE
Auna Salud,Auna - Grupo Salud Del Peru,1,FALSE
Auranet Chile,Auranet Chile,2,TRUE
Aurus Peru,Aurus Ti,3,FALSE
Aurus Ti,Aurus Ti,5,TRUE
Ausa,Ausa Soluciones Logisticas,4,FALSE
Ausa Soluciones Logisticas,Ausa Soluciones Logisticas,1,TRUE
Ausenco,Ausenco Peru S.A.C.,1,FALSE
Ausenco Peru S.A.C.,Ausenco Peru S.A.C.,1,TRUE
Auto Data Solutions Ltd,Auto Data Solutions Ltd,1,TRUE
Autoexpress Sac,Autoexpress Sac,1,TRUE
Autofacil Spa S.A.C,Autofacil Spa S.A.C,1,TRUE
Autolock,Autolock,1,TRUE
Automation Developer System Sa,Automation Developer System Sa,1,TRUE
Automotores Gildemeister,Automotores Gildemeister Del Peru,1,FALSE
Automotores Gildemeister Del Peru,Automotores Gildemeister Del Peru,1,TRUE
Automotriz Andina S.A.,Automotriz Andina S.A.,1,TRUE
Automotriz San Blas S.A,Automotriz San Blas S.A,1,TRUE
Autonomo,Autonomo,4,TRUE
Autoplan,Autoplan,1,TRUE
Autoridad De Transporte Urbano Para Lima Y Callao,Autoridad De Transporte Urbano Para Lima Y Callao,1,TRUE
Autoridad Nacional Del Agua,Autoridad Nacional Del Agua,21,TRUE
Autoridad Para La Reconstruccion Con Cambios,Autoridad Para La Reconstruccion Con Cambios,2,TRUE
Autos Y Camiones Sac,Autos Y Camiones Sac,1,TRUE
Autosummit,Autosummit,1,TRUE
Autrisa-Incamotors-Novaautos,Autrisa-Incamotors-Novaautos,1,TRUE
Aval,Aval,2,TRUE
Avalon Soluciones,Avalon Soluciones,1,TRUE
Avalora America S.A.C,Avalora America S.A.C,1,TRUE
Avanade Spain Slu,Avanade Spain Slu,1,TRUE
Avance Legal,Avance Legal S.A.C.,1,FALSE
Avance Legal S.A.C.,Avance Legal S.A.C.,2,TRUE
Avance Legal S.A.C. Contact Center - Teleavance,Avance Legal S.A.C.,1,FALSE
Avances Tecnologicos,Avances Tecnologicos,5,TRUE
Avantica Technologies,Avantica Technologies,5,TRUE
Avatar Global,Avatar Global,2,TRUE
Avatar Sac,Avatar Global,1,FALSE
Aventura 4X4 Peru,Aventura 4X4 Peru,1,TRUE
Avicola Casuarinas Del Sur E.I.R.L.,Avicola Casuarinas Del Sur E.I.R.L.,1,TRUE
Avla S.A.,Avla S.A.,1,TRUE
Avss Flight Center,Avss Flight Center,1,TRUE
Aws Amazon Web Service Dealer Morris &Amp; Opazzo,Aws Amazon Web Service Dealer Morris &Amp; Opazzo,3,TRUE
Axis Gl,Axis Gl,1,TRUE
Axon Group Ltda Sucursal Peru,Axon Group Ltda Sucursal Peru,1,TRUE
Aya Edificaciones Sac,Aya Edificaciones Sac,2,TRUE
Ayb Ecosistemas,Ayb Ecosistemas,1,TRUE
Ayd Asociados,Ayd Asociados S.A.C,2,FALSE
Ayd Asociados S.A.C,Ayd Asociados S.A.C,1,TRUE
Ayesa,Ayesa S.A.C.,2,FALSE
Ayesa Peru,Ayesa S.A.C.,6,FALSE
Ayesa S.A.C.,Ayesa S.A.C.,2,TRUE
Ayni Educativo,Ayni Educativo,3,TRUE
Aynitech,Aynitech Sac,3,FALSE
Aynitech S.A.,Aynitech Sac,1,FALSE
Aynitech Sac,Aynitech Sac,1,TRUE
Ayor S.A.C - Proyecto Um El Brocal - Buenaventura,Ayor S.A.C - Proyecto Um El Brocal - Buenaventura,1,TRUE
Ays Consultores,Ays Consultores,2,TRUE
Ayuda En Accion,Ayuda En Accion,1,TRUE
Ayvan S.A.C,Ayvan S.A.C,1,TRUE
Azteca Comunicaciones,Azteca Comunicaciones Peru S.A.C,2,FALSE
Azteca Comunicaciones Peru,Azteca Comunicaciones Peru S.A.C,1,FALSE
Azteca Comunicaciones Peru S.A.C,Azteca Comunicaciones Peru S.A.C,3,TRUE
B Y V Iesemin Sac,B Y V Iesemin Sac,1,TRUE
B&Amp;B Ingenieria Y Proyectos Sac,B&Amp;B Ingenieria Y Proyectos Sac,1,TRUE
B. Braun Medical Peru S.A.,B. Braun Medical Peru S.A.,1,TRUE
B2B Corporation S.A.C,B2B Corporation S.A.C,1,TRUE
Bac Credomatic,Bac Credomatic,1,TRUE
Background Consultores,Background Consultores S.A.C,1,FALSE
Background It,Background Consultores S.A.C,2,FALSE
Background Sac (Cliente Bcp),Background Consultores S.A.C,1,FALSE
Backstage Salon &Amp; Spa,Backstage Salon &Amp; Spa,2,TRUE
Backus,Backus Sac,1,FALSE
Backus Sac,Backus Sac,6,TRUE
Badinotti Peru S.A,Badinotti Peru S.A,1,TRUE
Bafing,Bafing Sac,1,FALSE
Bafing Sac,Bafing Sac,1,TRUE
Bags Store Sac,Bags Store Sac,1,TRUE
Baires Sac,Baires Sac,2,TRUE
Bairesa Sac,Baires Sac,1,FALSE
Bakar Peru S.A.C,Bakar Peru S.A.C,1,TRUE
Bakels Peru,Bakels Peru,1,TRUE
Balazar Media Group (Bmg),Balazar Media Group (Bmg),1,TRUE
Banbif,Banco Interamericano De Finanzas (Banbif),7,FALSE
Bancario Y Seguros,Bancario Y Seguros,1,TRUE
Banco Azteca,Banco Azteca Del Peru S.A,3,FALSE
Banco Azteca Del Peru,Banco Azteca Del Peru S.A,1,FALSE
Banco Azteca Del Peru S.A,Banco Azteca Del Peru S.A,2,TRUE
Banco Banbif,Banco Interamericano De Finanzas (Banbif),2,FALSE
Banco Banbif Peru,Banco Interamericano De Finanzas (Banbif),1,FALSE
Banco Bbva,Banco Bbva Peru,1,FALSE
Banco Bbva Peru,Banco Bbva Peru,1,TRUE
Banco Cencosud,Banco Cencosud,2,TRUE
Banco Central De Peru - Bcp,Banco De Credito Del Peru - Bcp,1,FALSE
Banco Central De Reserva,Banco Central De Reserva,1,TRUE
Banco Comercia,Banco Comercia,1,TRUE
Banco Continental,Banco Bbva Peru,1,FALSE
Banco Credito Del Peru,Banco De Credito Del Peru - Bcp,1,FALSE
