nombreUltimoEstudio,equivalencia,cantidad,igual
Analista De Datos En Sql Server,Analista De Datos En Sql Server,2,TRUE
Analista De Gestion Del Talento,Analista De Gestion Del Talento,2,TRUE
Analista De Marketing Digital,Analista De Marketing Digital,4,TRUE
Analista De Procesos,Analista De Procesos,1,TRUE
Analista De Proyectos,Analista De Proyectos,1,TRUE
Analista De Rendimiento En Futbol,Analista De Rendimiento En Futbol,1,TRUE
Analista De Sistema,Analista De Sistemas,2,FALSE
Analista De Sistemas,Analista De Sistemas,10,TRUE
Analista De Sistemas - Computacion E Informatica,Analista De Sistemas,1,FALSE
Analista De Supply Chain,Analista De Sistemas,1,FALSE
Analista E Ingeniero De Sistemas,Analista De Sistemas,1,FALSE
Analista En Gestion Del Talento,Analista En Gestion Del Talento,1,TRUE
Analista En Gestion Del Talento Humano,Analista En Gestion Del Talento Humano,2,TRUE
Analista Funcional / Administracion Y Sistemas,Analista Funcional / Administracion Y Sistemas,1,TRUE
Analista Programador,Analista Programador,1,TRUE
Analista Programador Web,Analista Programador Web,1,TRUE
Analitica De Negocios Y Gestion De La Informacion,Analitica De Negocios Y Gestion De La Informacion,4,TRUE
Analitica Digital,Analitica Digital,3,TRUE
Android Kotlin,Android Kotlin,1,TRUE
Android Mobile Developer,Android Mobile Developer,2,TRUE
Android Studio,Android Studio,4,TRUE
Animacion 3D Y Efectos Especiales,Animacion 3D Y Efectos Especiales,1,TRUE
Antropologia,Antropologia,1,TRUE
"Aplicacion Web En Angular(6,7+) Con Servicios Rest","Aplicacion Web En Angular(6,7+) Con Servicios Rest",1,TRUE
Aplicaciones Big Data Y Cloud Computing,Aplicaciones Big Data Y Cloud Computing,1,TRUE
Aplicaciones De Data Mining,Aplicaciones De Data Mining,1,TRUE
Aplicaciones En Dispositivos Moviles,Aplicaciones En Dispositivos Moviles,1,TRUE
Aplicaciones Web Angular 10,Aplicaciones Web Angular 10,1,TRUE
Aplicaciones Web Angular 8 (Front End),Aplicaciones Web Angular 8 (Front End),3,TRUE
Aprende Sql,Aprende Sql,1,TRUE
Aprender A Programar Con Java,Aprender A Programar Con Java,1,TRUE
Architect Network Infrastructure In Azure,Architect Network Infrastructure In Azure,1,TRUE
Arquitecto,Arquitecto,3,TRUE
Arquitecto De Diseno Interior,Arquitecto De Diseno Interior,1,TRUE
