lastWorkCenter,equivalence,count,equals
Banco Ficohsa,Banco Ficohsa,1,TRUE
Banco Gnb,Banco Gnb,1,TRUE
Banco Interamericano De Desarrollo (Bid) - Sunat,Banco Interamericano De Desarrollo (Bid) - Sunat,1,TRUE
Banco Interamericano De Finanza Banbif,Banco Interamericano De Finanzas (Banbif),1,FALSE
Banco Interamericano De Finanzas,Banco Interamericano De Finanzas (Banbif),2,FALSE
Banco Interamericano De Finanzas (Banbif),Banco Interamericano De Finanzas (Banbif),1,TRUE
Banco Interbank,Banco Interbank,3,TRUE
Banco Internacional Del Peru,Banco Interbank,1,FALSE
Banco Pichincha,Banco Pichincha,4,TRUE
Banco Pichincha - Ecuador,Banco Pichincha,1,FALSE
Banco Pichincha (Via Evol),Banco Pichincha,1,FALSE
Banco Pichincha Del Peru,Banco Pichincha,1,FALSE
Banco Ripley,Banco Ripley,14,TRUE
Banco Ripley Del Peru,Banco Ripley,1,FALSE
Banco Ripley Mdp,Banco Ripley,1,FALSE
Banco Ripley S.A,Banco Ripley,1,FALSE
Banco Ripley Sac,Banco Ripley,1,FALSE
Banco Santander Peru,Banco Santander Peru,1,TRUE
Bandtel Internacional,Bandtel Internacional,1,TRUE
Bank Of China,Bank Of China,1,TRUE
Barbacci,Barbacci,1,TRUE
Barca Academy Peru,Barca Academy Peru,1,TRUE
Barqueros Inmobiliaria,Barqueros Inmobiliaria,1,TRUE
Barrio Seguro,Barrio Seguro,1,TRUE
Base4,Base4,1,TRUE
Bata Peru,Bata Peru,1,TRUE
Baufest,Baufest,1,TRUE
Baufest (Transolution),Baufest,2,FALSE
Bautich Servicios Generales Sac.,Bautich Servicios Generales Sac.,1,TRUE
Bavaria Internacional,Bavaria Internacional,2,TRUE
Bayental,Bayental,1,TRUE
Bbva,Banco Bbva Peru,4,FALSE
Bbva - Continental,Banco Bbva Peru,1,FALSE
Bbva Banco Continental,Banco Bbva Peru,1,FALSE
Bbva Consumer _ Certicom,Banco Bbva Peru,1,FALSE
Bbva Continental,Banco Bbva Peru,2,FALSE
Bcd Travel,Bcd Travel,2,TRUE
Bcp,Banco De Credito Del Peru - Bcp,11,FALSE
Bcp - Banco De Credito Del Peru,Banco De Credito Del Peru - Bcp,1,FALSE
Bcp - Everis,Banco De Credito Del Peru - Bcp,4,FALSE
Bcp Banco De Credito Del Peru,Banco De Credito Del Peru - Bcp,1,FALSE
Bcts Consulting,Bcts Consulting,3,TRUE
Bdo Consulting,Bdo Peru S.A.C,2,FALSE
Bdo Peru S.A.C,Bdo Peru S.A.C,1,TRUE
Bederr,Bederr,1,TRUE
Belcorp,Belcorp,3,TRUE
Belcorp - Hundred,Belcorp,1,FALSE
Belcorp - Inetum,Belcorp,2,FALSE
Belgravia,Belgravia,1,TRUE
Bermer Internacional S.A.C.,Bermer Internacional S.A.C.,1,TRUE
Bertonati Technologies,Bertonati Technologies,2,TRUE
Bertoni,Bertoni,1,TRUE
Bevcos Contac Center,Bevcos Contac Center,1,TRUE
Bigmond Group,Bigmond Group,2,TRUE
Bims Eirl,Bims Eirl,4,TRUE
Bindiy Sac,Bindiy Sac,1,TRUE
Binsa,Binsa Software Peru,1,FALSE
Binsa Software Peru,Binsa Software Peru,2,TRUE
Bio Sac,Bio Sac,1,TRUE
Bionet S.A.,Bionet S.A.,1,TRUE
Bi-Peru,Bi-Peru,1,TRUE
Birmingham City Council,Birmingham City Council,1,TRUE
Bisa Ingenieria De Proyectos,Bisa Ingenieria Y Proyectos,1,FALSE
Bisa Ingenieria Y Proyectos,Bisa Ingenieria Y Proyectos,1,TRUE
Bit Perfect Solutions Sac,Bit Perfect Solutions Sac,1,TRUE
Bit2Bit Americas,Bit2Bit Americas,1,TRUE
Bitacore S.A.C,Bitacore S.A.C,1,TRUE
Bitel,Bitel,3,TRUE
Bitel Peru,Bitel,2,FALSE
Bits &Amp; Systems Solutions,Bits &Amp; Systems Solutions,1,TRUE
Bizflow,Bizflow,1,TRUE
Blacksmith Research,Blacksmith Research,1,TRUE
Blend S.A.,Blend S.A.,1,TRUE
